product,product_label,link,x_col,y_col,week_min,week_max,overlap_weeks,continuity_share,x_raw_support_share,y_raw_support_share,mapping_type,interpolation_dominant_flag,admissibility_status
sour_cream,Sour cream,Procurement -> Retail combined,prozorro_weekly,retail_category_baseline_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Producer -> Procurement,producer_linear_weekly,prozorro_weekly,2025-04-14,2026-01-05,39,1.0,1.0,1.0,direct,0,weak_extension
sour_cream,Sour cream,Producer -> Retail (Novus),producer_linear_weekly,novus_category_baseline_weekly,2025-11-03,2026-01-05,7,0.7142857142857143,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Producer -> Retail (Silpo),producer_linear_weekly,silpo_category_baseline_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Producer -> Retail combined,producer_linear_weekly,retail_category_baseline_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Retail (Novus) -> FarmGate,novus_category_baseline_weekly,farmgate_combined_linear_weekly,2025-11-03,2026-01-05,7,0.7142857142857143,1.0,1.0,inferred,0,unusable
sour_cream,Sour cream,Retail (Novus) -> Procurement,novus_category_baseline_weekly,prozorro_weekly,2025-11-03,2026-01-05,7,0.7142857142857143,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Retail (Novus) -> Producer,novus_category_baseline_weekly,producer_linear_weekly,2025-11-03,2026-01-05,7,0.7142857142857143,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Retail (Silpo) -> FarmGate,silpo_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
sour_cream,Sour cream,Retail (Silpo) -> Procurement,silpo_category_baseline_weekly,prozorro_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Retail (Silpo) -> Producer,silpo_category_baseline_weekly,producer_linear_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Retail combined -> FarmGate,retail_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,inferred,0,unusable
sour_cream,Sour cream,Retail combined -> Procurement,retail_category_baseline_weekly,prozorro_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
sour_cream,Sour cream,Retail combined -> Producer,retail_category_baseline_weekly,producer_linear_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,direct,0,unusable
yogurt_dessert,Yogurt / dessert,FarmGate -> Retail (Novus),farmgate_combined_linear_weekly,novus_category_baseline_weekly,2025-11-03,2026-01-05,9,0.8888888888888888,1.0,1.0,inferred,0,unusable
yogurt_dessert,Yogurt / dessert,FarmGate -> Retail (Silpo),farmgate_combined_linear_weekly,silpo_category_baseline_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
yogurt_dessert,Yogurt / dessert,FarmGate -> Retail combined,farmgate_combined_linear_weekly,retail_category_baseline_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,inferred,0,unusable
yogurt_dessert,Yogurt / dessert,Retail (Novus) -> FarmGate,novus_category_baseline_weekly,farmgate_combined_linear_weekly,2025-11-03,2026-01-05,9,0.8888888888888888,1.0,1.0,inferred,0,unusable
yogurt_dessert,Yogurt / dessert,Retail (Silpo) -> FarmGate,silpo_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2025-12-08,8,1.0,1.0,1.0,inferred,0,unusable
yogurt_dessert,Yogurt / dessert,Retail combined -> FarmGate,retail_category_baseline_weekly,farmgate_combined_linear_weekly,2025-10-20,2026-01-05,11,0.9090909090909091,1.0,1.0,inferred,0,unusable
