retailer,item_key,product,brand_norm,canonical_name,n_strict_keys,fat_pct,pack_std,pack_std_unit,first_title,first_name,n_rows,date_min,date_max
Novus,cheese|carcia|baquero манчего курадо міс,cheese,carcia,baquero манчего курадо міс,1,55.0,0.15,kg,Сир Carcia Baquero Манчего Курадо 4 міс55% 150г,Сир Baquero Манчего Курадо 4 міс,1,2025-11-04,2025-11-04
Novus,cheese|carcia|baquero манчего іспанський іберіко,cheese,carcia,baquero манчего іспанський іберіко,1,55.0,0.15,kg,Сир Carcia Baquero Манчего іспанський Іберіко 55% 150г,Сир Baquero Манчего іспанський Іберіко,1,2025-11-04,2025-11-04
Novus,cheese|carmela|mozarella,cheese,carmela,mozarella,1,45.0,,,Сир Carmela Mozarella 45%,Сир Mozarella,1,2025-11-04,2025-11-04
Novus,cheese|casarrigoni|трюфелями,cheese,casarrigoni,трюфелями,1,,,,Сир Casarrigoni з трюфелями,Сир з трюфелями,1,2025-11-04,2025-11-04
Novus,cheese|castelli|гран кастеллі тертий,cheese,castelli,гран кастеллі тертий,1,32.0,0.1,kg,Сир Castelli Гран Кастеллі тертий 32% 100г,Сир Гран Кастеллі тертий,1,2025-11-04,2025-11-04
Novus,cheese|castelli|маскарпоне,cheese,castelli,маскарпоне,2,80.0,0.375,kg,Сир Castelli Маскарпоне 80% 500г,Сир Маскарпоне,2,2025-11-04,2025-11-15
Novus,cheese|castello|брі який білою пліснявою,cheese,castello,брі який білою пліснявою,1,50.0,0.125,kg,Сир Castello Брі м'який з білою пліснявою 50% 125г,Сир Брі м'який з білою пліснявою,1,2025-11-04,2025-11-04
Novus,cheese|castello|бургер блю блакитною пліснявою нарізаний,cheese,castello,бургер блю блакитною пліснявою нарізаний,1,60.0,0.15,kg,Сир Castello Бургер Блю з блакитною пліснявою нарізаний 60% 150г,Сир Бургер Блю з блакитною пліснявою нарізаний,1,2025-11-04,2025-11-04
Novus,cheese|castello|камамбер який білою пліснявою,cheese,castello,камамбер який білою пліснявою,1,50.0,0.125,kg,Сир Castello Камамбер м'який з білою пліснявою 50% 125г,Сир Камамбер м'який з білою пліснявою,1,2025-11-04,2025-11-04
Novus,cheese|castello|крем taste the caribbean лаймом та кокосом,cheese,castello,крем taste the caribbean лаймом та кокосом,1,65.0,0.125,kg,Крем-сир Castello Taste The Caribbean з лаймом та кокосом 65% 125г,Крем-сир Taste The Caribbean з лаймом та кокосом,1,2025-12-14,2025-12-14
