dataset,raw_product,standardized_product,mapping_basis,mapping_type,ambiguity_flag,n_rows
Prozorro,2025-10-30 00:00:00,other,procurement profile plus tender title,approximate,1,58
Prozorro,2025-10-31 00:00:00,other,procurement profile plus tender title,approximate,1,50
Prozorro,2025-11-01 00:00:00,other,procurement profile plus tender title,approximate,1,5
Prozorro,2025-11-02 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-11-03 00:00:00,other,procurement profile plus tender title,approximate,1,65
Prozorro,2025-11-04 00:00:00,other,procurement profile plus tender title,approximate,1,73
Prozorro,2025-11-05 00:00:00,other,procurement profile plus tender title,approximate,1,62
Prozorro,2025-11-06 00:00:00,other,procurement profile plus tender title,approximate,1,71
Prozorro,2025-11-07 00:00:00,other,procurement profile plus tender title,approximate,1,66
Prozorro,2025-11-08 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-11-09 00:00:00,other,procurement profile plus tender title,approximate,1,5
Prozorro,2025-11-10 00:00:00,other,procurement profile plus tender title,approximate,1,70
Prozorro,2025-11-11 00:00:00,other,procurement profile plus tender title,approximate,1,71
Prozorro,2025-11-12 00:00:00,other,procurement profile plus tender title,approximate,1,69
Prozorro,2025-11-13 00:00:00,other,procurement profile plus tender title,approximate,1,67
Prozorro,2025-11-14 00:00:00,other,procurement profile plus tender title,approximate,1,61
Prozorro,2025-11-15 00:00:00,other,procurement profile plus tender title,approximate,1,3
Prozorro,2025-11-16 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-11-17 00:00:00,other,procurement profile plus tender title,approximate,1,64
Prozorro,2025-11-18 00:00:00,other,procurement profile plus tender title,approximate,1,70
Prozorro,2025-11-19 00:00:00,other,procurement profile plus tender title,approximate,1,67
Prozorro,2025-11-20 00:00:00,other,procurement profile plus tender title,approximate,1,71
Prozorro,2025-11-21 00:00:00,other,procurement profile plus tender title,approximate,1,69
Prozorro,2025-11-22 00:00:00,other,procurement profile plus tender title,approximate,1,4
Prozorro,2025-11-23 00:00:00,other,procurement profile plus tender title,approximate,1,4
Prozorro,2025-11-24 00:00:00,other,procurement profile plus tender title,approximate,1,87
Prozorro,2025-11-25 00:00:00,other,procurement profile plus tender title,approximate,1,73
Prozorro,2025-11-26 00:00:00,other,procurement profile plus tender title,approximate,1,61
Prozorro,2025-11-27 00:00:00,other,procurement profile plus tender title,approximate,1,61
Prozorro,2025-11-28 00:00:00,other,procurement profile plus tender title,approximate,1,56
Prozorro,2025-11-29 00:00:00,other,procurement profile plus tender title,approximate,1,7
Prozorro,2025-11-30 00:00:00,other,procurement profile plus tender title,approximate,1,1
Prozorro,2025-12-01 00:00:00,other,procurement profile plus tender title,approximate,1,73
Prozorro,2025-12-02 00:00:00,other,procurement profile plus tender title,approximate,1,63
Prozorro,2025-12-03 00:00:00,other,procurement profile plus tender title,approximate,1,67
Prozorro,2025-12-04 00:00:00,other,procurement profile plus tender title,approximate,1,68
Prozorro,2025-12-05 00:00:00,other,procurement profile plus tender title,approximate,1,84
Prozorro,2025-12-06 00:00:00,other,procurement profile plus tender title,approximate,1,5
Prozorro,2025-12-07 00:00:00,other,procurement profile plus tender title,approximate,1,2
Prozorro,2025-12-08 00:00:00,other,procurement profile plus tender title,approximate,1,72
Prozorro,2025-12-09 00:00:00,other,procurement profile plus tender title,approximate,1,63
Prozorro,2025-12-10 00:00:00,other,procurement profile plus tender title,approximate,1,82
Prozorro,2025-12-11 00:00:00,other,procurement profile plus tender title,approximate,1,69
Prozorro,2025-12-12 00:00:00,other,procurement profile plus tender title,approximate,1,64
Prozorro,2025-12-13 00:00:00,other,procurement profile plus tender title,approximate,1,9
Prozorro,2025-12-14 00:00:00,other,procurement profile plus tender title,approximate,1,10
Prozorro,2025-12-15 00:00:00,other,procurement profile plus tender title,approximate,1,90
Prozorro,2025-12-16 00:00:00,other,procurement profile plus tender title,approximate,1,86
Prozorro,2025-12-17 00:00:00,other,procurement profile plus tender title,approximate,1,92
Prozorro,2025-12-18 00:00:00,other,procurement profile plus tender title,approximate,1,104
Prozorro,2025-12-19 00:00:00,other,procurement profile plus tender title,approximate,1,102
Prozorro,2025-12-20 00:00:00,other,procurement profile plus tender title,approximate,1,18
Prozorro,2025-12-21 00:00:00,other,procurement profile plus tender title,approximate,1,10
Prozorro,2025-12-22 00:00:00,other,procurement profile plus tender title,approximate,1,133
Prozorro,2025-12-23 00:00:00,other,procurement profile plus tender title,approximate,1,191
Prozorro,2025-12-24 00:00:00,other,procurement profile plus tender title,approximate,1,159
Prozorro,2025-12-25 00:00:00,other,procurement profile plus tender title,approximate,1,153
Prozorro,2025-12-26 00:00:00,other,procurement profile plus tender title,approximate,1,146
Prozorro,2025-12-27 00:00:00,other,procurement profile plus tender title,approximate,1,21
Prozorro,2025-12-28 00:00:00,other,procurement profile plus tender title,approximate,1,19
Prozorro,2025-12-29 00:00:00,other,procurement profile plus tender title,approximate,1,221
Prozorro,2025-12-30 00:00:00,other,procurement profile plus tender title,approximate,1,197
Prozorro,2025-12-31 00:00:00,other,procurement profile plus tender title,approximate,1,108
Prozorro,2026-01-01 00:00:00,other,procurement profile plus tender title,approximate,1,46
Prozorro,2026-01-02 00:00:00,other,procurement profile plus tender title,approximate,1,153
Prozorro,2026-01-03 00:00:00,other,procurement profile plus tender title,approximate,1,20
Prozorro,2026-01-04 00:00:00,other,procurement profile plus tender title,approximate,1,24
Prozorro,2026-01-05 00:00:00,other,procurement profile plus tender title,approximate,1,206
Prozorro,2026-01-06 00:00:00,other,procurement profile plus tender title,approximate,1,156
Prozorro,2026-01-07 00:00:00,other,procurement profile plus tender title,approximate,1,52
Prozorro,2026-01-08 00:00:00,other,procurement profile plus tender title,approximate,1,22
Prozorro,2026-01-09 00:00:00,other,procurement profile plus tender title,approximate,1,1
Silpo,butter,butter,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,7314
Silpo,cottage cheese,cheese,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,9720
Silpo,condensed milk,condensed_milk,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,2893
Silpo,cream,cream,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,5142
Silpo,drinking milk,milk,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,10232
Silpo,інше,milk,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,6037
Silpo,молоко сухе,milk_powder,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,0,162
Silpo,chicken eggs,other,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,2589
Silpo,sour cream,sour_cream,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,6226
Silpo,cheese,yogurt_dessert,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,5060
Silpo,yogurt,yogurt_dessert,"retail title, product title, literal dairy typing, and brand-normalized item text",inferred,1,25474
