week,standardized_type,series_name,layer,price_usd,n_obs,discount_share
2022-06-21,hard_cheese,Producer_UA,upstream,41.08187543157006,7,
2022-06-21,milk,Producer_UA,upstream,6.265969393939687,14,
2022-06-21,sour_cream,Producer_UA,upstream,16.364299184753385,7,
2022-06-28,butter,Producer_UA,upstream,40.192095514004414,7,
2022-06-28,cream,Producer_UA,upstream,22.949493609214382,7,
2022-06-28,hard_cheese,Producer_UA,upstream,40.590849079530464,7,
2022-06-28,milk,Producer_UA,upstream,5.976900425526241,14,
2022-06-28,sour_cream,Producer_UA,upstream,15.933640528409773,7,
2022-07-05,butter,Producer_UA,upstream,38.52305178280609,7,
2022-07-05,cream,Producer_UA,upstream,23.030063745544314,7,
2022-07-05,hard_cheese,Producer_UA,upstream,38.72579228186383,7,
2022-07-05,milk,Producer_UA,upstream,5.853398904049511,14,
2022-07-05,sour_cream,Producer_UA,upstream,15.461917404132208,7,
2022-07-12,butter,Producer_UA,upstream,38.342090970016315,7,
2022-07-12,cream,Producer_UA,upstream,23.093341823504318,7,
2022-07-12,hard_cheese,Producer_UA,upstream,38.44445460045982,7,
2022-07-12,milk,Producer_UA,upstream,6.0104845361792405,14,
2022-07-12,sour_cream,Producer_UA,upstream,15.674232480457205,7,
2022-07-19,butter,Producer_UA,upstream,43.580903360337274,7,
2022-07-19,cream,Producer_UA,upstream,24.287529927116594,7,
2022-07-19,hard_cheese,Producer_UA,upstream,43.44075456655899,7,
2022-07-19,milk,Producer_UA,upstream,6.788432501550496,14,
2022-07-19,sour_cream,Producer_UA,upstream,17.804708879984293,7,
2022-07-26,butter,Producer_UA,upstream,38.83118445621915,7,
2022-07-26,cream,Producer_UA,upstream,22.43912262027819,7,
2022-07-26,hard_cheese,Producer_UA,upstream,39.07610315080746,7,
2022-07-26,milk,Producer_UA,upstream,6.077041588217975,14,
2022-07-26,sour_cream,Producer_UA,upstream,15.997116110231204,7,
2022-08-02,butter,Producer_UA,upstream,33.153707956411324,7,
2022-08-02,cream,Producer_UA,upstream,20.338117099807363,7,
2022-08-02,hard_cheese,Producer_UA,upstream,33.35581118431265,7,
