region,product,price_median,price_mean,price_std,n_obs,cv
Донецька,Сметана,93.11,93.11,,1,
Житомирська,Інше/невідомо,5.5,5.431685393258427,0.8881943785196819,267,0.16352095421838503
Житомирська,Вершки,39.0,44.415849056603776,25.204561662369027,53,0.5674677440084104
Житомирська,Масло вершкове,378.0,381.2891666666667,66.19066741201166,144,0.17359703133101953
Житомирська,Молоко питне,39.6,50.14130081300813,24.7858022540321,123,0.494319091290945
Житомирська,Сир кисломолочний,192.0,182.07556962025316,24.285370226602836,79,0.13338071811201108
Житомирська,Сир твердий,393.0,377.3505194805195,83.58568746936639,77,0.22150675076434195
Житомирська,Сметана,126.0,128.38793103448276,16.935242496747584,29,0.13190681055681996
Закарпатська,Інше/невідомо,5.9,5.844615384615385,0.7928244631509739,78,0.1356504082780029
Закарпатська,Вершки,37.8,58.7112,43.95111994401659,25,0.748598562863927
Закарпатська,Масло вершкове,379.0,366.72228571428576,96.5257735975881,70,0.2632121835998578
Закарпатська,Молоко питне,42.0,43.17033333333333,8.833943390084015,60,0.20462995552695945
Закарпатська,Сир кисломолочний,110.0,108.75,16.256866681058632,8,0.14948842925111386
Закарпатська,Сир твердий,270.0,290.6411764705882,70.43261903074037,17,0.24233530804561645
Закарпатська,Сметана,88.0,97.27473684210527,37.00917474363186,19,0.3804602915935361
Запорізька,Інше/невідомо,5.59,5.343488372093024,0.8277332320458085,43,0.15490503102219508
Запорізька,Вершки,38.4,45.41052631578947,24.50049193920722,19,0.5395333180863899
Запорізька,Масло вершкове,297.0,298.4765957446808,74.93570650830112,47,0.25106057753486877
Запорізька,Молоко питне,42.96,59.22702702702703,41.8471311153176,37,0.7065546460101996
Запорізька,Сир кисломолочний,102.42,102.038,26.268273131923486,10,0.2574361819314715
Запорізька,Сир твердий,270.0,272.0641176470588,107.79873903824335,17,0.3962254926174706
Запорізька,Сметана,90.0,110.16888888888889,37.535135687927266,9,0.34070540300886054
Київська,Інше/невідомо,5.4,5.755081967213115,3.79699877532748,427,0.6597644997862937
Київська,Вершки,33.93,43.89,44.485854553831096,196,1.0135760891736407
Київська,Масло вершкове,375.51,381.74373417721523,82.70265477387392,316,0.21664443282121096
Київська,Молоко питне,40.26,47.063428571428574,28.417739678011426,175,0.6038178802651739
Київська,Сир кисломолочний,137.4,146.68216,47.54261462920024,125,0.32411995180054776
Київська,Сир твердий,297.63,298.8740909090909,72.14720297967085,110,0.24139664552460655
Київська,Сметана,125.0,120.99189873417723,26.15718100528916,79,0.2161895240834038
Кіровоградська,Інше/невідомо,6.48,6.2838260869565215,1.0185219619786299,115,0.16208627480840038
Кіровоградська,Вершки,37.8,41.688367346938776,14.700145314890992,49,0.35261983738901304
Кіровоградська,Масло вершкове,372.0,361.523052631579,114.04779015156167,95,0.31546477969078646
Кіровоградська,Молоко питне,45.0,47.843492063492064,14.094182071123118,63,0.2945893258046263
Кіровоградська,Сир кисломолочний,97.0,107.18764705882353,34.542638059616216,17,0.3222632365524318
Кіровоградська,Сир твердий,292.32,313.8081481481481,92.22804433480827,27,0.29389945697416253
Кіровоградська,Сметана,120.0,116.31470588235294,26.748748596347234,17,0.22996875926765772
Луганська,Інше/невідомо,5.94,5.81,0.7633478892353082,3,0.13138517887010467
Луганська,Вершки,129.0,129.0,,1,
Луганська,Масло вершкове,255.0,255.0,,1,
Луганська,Сир твердий,246.56,246.56,43.04866083863701,2,0.1745970994428821
Луганська,Сметана,104.9,104.9,,1,
Львівська,Інше/невідомо,5.88,5.8302564102564105,0.7541386444944549,156,0.1293491386018284
Львівська,Вершки,40.08,53.452564102564104,57.04571198326528,78,1.0672212445002018
Львівська,Масло вершкове,402.0,391.01772727272726,70.76950862144285,132,0.18098798004644556
Львівська,Молоко питне,45.9,45.037747747747744,15.756778609664227,111,0.34985716199478906
Львівська,Сир кисломолочний,139.2,138.62151515151515,33.33753891272683,33,0.240493251543878
Львівська,Сир твердий,257.4,284.28636363636366,77.08904125350944,22,0.2711668624110144
Львівська,Сметана,143.58,132.09509433962265,19.63801656742522,53,0.14866575224160075
Миколаївська,Інше/невідомо,6.355,6.398409090909092,0.9225824404662353,88,0.1441893488456447
Миколаївська,Вершки,45.7,54.866585365853666,36.22120998874528,41,0.6601688395080556
Миколаївська,Масло вершкове,366.0,372.99823529411765,147.91120673096628,85,0.396546666271316
Миколаївська,Молоко питне,51.0,59.322978723404255,20.46322384339171,47,0.34494599367308076
Миколаївська,Сир кисломолочний,86.85,137.93615384615384,76.71775263011413,26,0.5561830636200047
Миколаївська,Сир твердий,333.0,311.3455,79.46200915995543,20,0.2552213189525958
Миколаївська,Сметана,131.7,121.42,44.133518351761445,20,0.3634781613553076
Одеська,Інше/невідомо,6.49,6.533990384615384,0.9805169394284498,208,0.15006403158124126
