dataset,product,left,right,metric,pearson,spearman,n_obs
Silpo,Інше/невідомо,Farm,Чарівний Птах,log_price,0.07789898423909807,0.16940472935747738,48
Silpo,Інше/невідомо,Farm,Чарівний птах,log_price,-0.08814468944867226,0.19232857810319764,47
Silpo,Інше/невідомо,Farm,Чумак,log_price,-0.20494696545422691,0.10682686354123193,48
Silpo,Інше/невідомо,Farm,Яготинська,log_price,0.17411912535434712,0.03392888610602768,48
Silpo,Інше/невідомо,Farm,Яготинський,log_price,,,24
Silpo,Інше/невідомо,Farm,Яйця,log_price,0.026719436015988023,-0.15090186976315836,48
Silpo,Інше/невідомо,Farm,Ясенсвіт,log_price,-0.09570734116191043,-0.04452236224778393,48
Silpo,Інше/невідомо,Latteria,Muller,log_price,0.023694305501118902,-0.07534143870915656,48
Silpo,Інше/невідомо,Latteria,Organick,log_price,0.03511260263085345,0.002038882743820019,48
Silpo,Інше/невідомо,Latteria,Premialle,log_price,-0.19293001107195953,-0.09530054120223248,48
Silpo,Інше/невідомо,Latteria,Агрокомплекс Фенікс,log_price,-0.06366631650300346,-0.06277566835318808,48
Silpo,Інше/невідомо,Latteria,Айран,log_price,0.004949140382584467,-0.0443230554916323,48
Silpo,Інше/невідомо,Latteria,Бариста,log_price,0.06735100573574432,-0.0011918496946842145,48
Silpo,Інше/невідомо,Latteria,Бісквіт,log_price,-0.22301796759499373,-0.07932115498000544,48
Silpo,Інше/невідомо,Latteria,Волошкове поле,log_price,,,48
Silpo,Інше/невідомо,Latteria,Волошковое поле,log_price,-0.050625567691925874,-0.12807379684239908,48
Silpo,Інше/невідомо,Latteria,Від доброї курки,log_price,-0.1412538636045359,-0.18852403907271342,48
Silpo,Інше/невідомо,Latteria,ДанКолекція,log_price,0.32744928187017963,0.334699312286608,48
Silpo,Інше/невідомо,Latteria,Даніссімо,log_price,-0.09672629890938662,-0.12210496597841015,48
Silpo,Інше/невідомо,Latteria,Деліссімо,log_price,-0.036746557774902766,-0.18605677186251188,48
Silpo,Інше/невідомо,Latteria,Дольче,log_price,0.1054686148555044,0.1701765604622583,48
Silpo,Інше/невідомо,Latteria,Закваска,log_price,-0.15620347514733904,-0.09105526161401645,48
Silpo,Інше/невідомо,Latteria,Злагода,log_price,-0.30723873869109397,-0.3910619631258692,48
Silpo,Інше/невідомо,Latteria,Карамель,log_price,-0.057641359555766894,-0.016409102342171283,48
Silpo,Інше/невідомо,Latteria,Квочка,log_price,-0.029653757153472005,0.022479965879662493,48
Silpo,Інше/невідомо,Latteria,Коктейль,log_price,0.13925556039736048,0.08375513957846861,48
Silpo,Інше/невідомо,Latteria,Лавка Традицій,log_price,-0.184363784107874,-0.22085698442460525,48
