"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Ukraine","2022","Dairy produce; fats and oils derived from milk (other than butter or dairy spreads)","Export","2531245.5","320976","Weight in kilograms","320976"
"Ukraine","2022","Dairy produce; fats and oils derived from milk (other than butter or dairy spreads)","Import","2570758.09","355795.84","Weight in kilograms","355795.84"
"Ukraine","2022","Dairy produce; fresh cheese (including whey cheese), not fermented, and curd","Import","44322911.24","10765025.39","Weight in kilograms","10765025.39"
"Ukraine","2022","Dairy produce; fresh cheese (including whey cheese), not fermented, and curd","Export","4355245.1","1285008.79","Weight in kilograms","1285008.79"
"Ukraine","2022","Dairy produce; cheese of all kinds, grated or powdered","Export","628.05","64.8","Weight in kilograms","64.8"
"Ukraine","2022","Dairy produce; cheese of all kinds, grated or powdered","Import","1882785.74","209548.21","Weight in kilograms","209548.21"
"Ukraine","2022","Dairy produce; cheese, processed (not grated or powdered)","Export","945141.91","257022.52","Weight in kilograms","257022.52"
"Ukraine","2022","Dairy produce; cheese, processed (not grated or powdered)","Import","20259666.76","4250969.1","Weight in kilograms","4250969.1"
"Ukraine","2022","Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)","Import","11432181.71","1540037.11","Weight in kilograms","1540037.11"
"Ukraine","2022","Dairy produce; cheese, blue-veined and other cheese containing veins produced by Penicillium roqueforti (not grated, powdered or processed)","Export","796.89","71.63","Weight in kilograms","71.63"
"Ukraine","2022","Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406","Export","36917255.21","7445338.91","Weight in kilograms","7445338.91"
"Ukraine","2022","Dairy produce; cheese (not grated, powdered or processed), n.e.c. in heading no. 0406","Import","103923471.4","17033408.18","Weight in kilograms","17033408.18"
"Ukraine","2022","Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)","Import","22869770.18","5701770.94","Weight in kilograms","5701770.94"
"Ukraine","2022","Birds' eggs, in shell; fresh, fertilised eggs for incubation, of fowls of the species Gallus domesticus (domestic hens)","Export","88019.83","25211","Weight in kilograms","25211"
"Ukraine","2022","Birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)","Import","333412.81","303287.4","Weight in kilograms","303287.4"
"Ukraine","2022","Birds' eggs, in shell; fresh, not for incubation, of fowls of the species Gallus domesticus (domestic hens)","Export","42439687.41","27241467.34","Weight in kilograms","27241467.34"
