hypothesis,source_block,model_family,frequency,link,product,product_label,n_obs,coef,pvalue,ect_coef,ect_pvalue,cointegration_p,admissibility_status,mapping_type,diagnostic_ljungbox_p,asymmetry_pvalue,reliability_raw,interpretation_source,diagnostic_bp_p,r2,detail,data_layer,x_product,period_start,period_end,speed_measure,asymmetry_measure,pos_ect_coef,neg_ect_coef,pos_ect_p,neg_ect_p,horizon,retailer,price_measure,discount_mean,sku_support,abs_coef,large_coef_flag,peak_coef_flag,intersection_score,significant_flag,direct_bad_link_flag,integrated_reliability,thesis_use
H1,old_final_daily,ECM,daily,FarmGate -> Procurement,butter,Butter,273.0,1.38923050906026,1.0566551174404652e-05,-0.1660573113297533,1.0566551174404652e-05,0.0023449100530863,acceptable,inferred,0.1786338152526116,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.38923050906026,False,False,2.0,True,False,main reliable,main text
H1,old_final_daily,NARDL,daily,FarmGate -> Procurement,butter,Butter,268.0,1.8963828638637672,2.964469203273014e-18,-0.6958550222610993,2.964469203273014e-18,,acceptable,inferred,0.4238450003622728,0.0905310476072541,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.8963828638637672,False,False,2.0,True,False,main reliable,main text
H1,old_final_daily,NARDL,daily,FarmGate -> Procurement,butter,Butter,274.0,2.3119944282258555,7.889144396230063e-05,-0.1525903845231014,7.889144396230063e-05,,acceptable,inferred,0.1454026937472165,0.0669242278915478,reliable,previous model output,,,,,,,,,,,,,,,,,,,2.3119944282258555,False,False,2.0,True,False,main reliable,main text
H1,old_final_daily,ECM,daily,FarmGate -> Producer,butter,Butter,1472.0,1.4786665691055898,0.0282326002654406,-0.0010333037039098,0.0282326002654406,0.0205244126085989,acceptable,inferred,0.6816922357429305,,reliable,previous model output,,,,,,,,,,,,,,,,,,,1.4786665691055898,False,False,2.0,True,False,main reliable,main text
H1,old_final_daily,ECM,daily,FarmGate -> Producer,butter,Butter,1472.0,1.4789924462665027,0.0781055473709633,-0.0007718459280789,0.0781055473709633,0.0914209420605812,acceptable,inferred,0.3898614011128581,,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,1.4789924462665027,False,False,2.0,True,False,probable / supporting,short supporting block or appendix
H1,old_final_daily,NARDL,daily,FarmGate -> Producer,butter,Butter,1476.0,-3.7800106226486734,0.0011556142824751,-0.0025279868917112,0.0011556142824751,,acceptable,inferred,1.5502787760504812e-40,0.0086361221270318,reliable,previous model output,,,,,,,,,,,,,,,,,,,3.7800106226486734,False,False,2.0,True,False,main reliable,main text
H1,old_final_daily,NARDL,daily,FarmGate -> Producer,butter,Butter,1476.0,-3.665186769893441,0.0057739469689261,-0.0019539336890012,0.0057739469689261,,acceptable,inferred,1.1199683829639106e-25,0.0236339462543719,reliable,previous model output,,,,,,,,,,,,,,,,,,,3.665186769893441,False,False,2.0,True,False,main reliable,main text
H2,old_final_daily,NARDL,daily,FarmGate -> Retail combined,butter,Butter,65.0,-13.20241190658329,1.768659566844613e-07,-0.3693107614553793,1.768659566844613e-07,,weak_extension,inferred,0.0415180871602277,0.0044473491291288,unreliable / appendix only,previous model output,,,,,,,,,,,,,,,,,,,13.20241190658329,True,False,1.0,True,True,appendix or discard,appendix only / do not headline
H2,old_final_daily,NARDL,daily,FarmGate -> Retail combined,butter,Butter,82.0,-3.726328669256784,0.0011543698562025,-0.142710991316527,0.0011543698562025,,weak_extension,inferred,0.1406882181644159,0.4031103960820249,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,3.726328669256784,False,False,1.0,True,True,appendix or discard,appendix only / do not headline
H2,old_final_daily,NARDL,daily,Procurement -> Retail combined,butter,Butter,65.0,0.9879619107390558,4.575578477301644e-07,-0.3341830344967599,4.575578477301644e-07,,weak_extension,direct,0.093162693320622,0.2886220388663831,conditionally_usable,previous model output,,,,,,,,,,,,,,,,,,,0.9879619107390558,False,False,1.0,True,False,probable / supporting,short supporting block or appendix
