product,product_label,stage,spread,farm_gate_source,reconstruction_variant,n_obs,mean_log_spread,median_log_spread,sd_log_spread,mean_price_ratio,date_min,date_max
cream,Cream,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,linear,51,0.28907481521921224,0.3708970008337329,0.3201481281895922,1.3351916174454057,2025-10-21,2025-12-13
cream,Cream,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,linear,51,0.40826341512628306,0.4941296412576812,0.31734393846569464,1.5042033389006895,2025-10-21,2025-12-13
cream,Cream,novus_procurement_observed,Novus observed / ProZorro,not_applicable,linear,47,0.6814309911272224,0.7219874762730503,0.5574149161922222,1.9767043557056996,2025-11-04,2026-01-08
cream,Cream,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,linear,70,0.4490462432476976,0.41632312188805876,0.463229554992648,1.566817110235932,2025-10-21,2026-01-08
cream,Cream,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,linear,70,0.5355411709412967,0.5394340765813652,0.4368652900930403,1.7083725136985541,2025-10-21,2026-01-08
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,initial,pchip,67,1.3423118527842148,1.2306923527209448,0.31532515389279464,3.8278827853473576,2025-10-21,2025-12-29
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,initial,pchip,67,1.4326796876879753,1.3321947650685786,0.27461571344242364,4.189911817156924,2025-10-21,2025-12-29
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,initial,pchip,67,1.3423118527842148,1.2306923527209448,0.31532515389279464,3.8278827853473576,2025-10-21,2025-12-29
cream,Cream,retail_farmgate_observed,Retail observed / FarmGateUA,filled,pchip,67,1.3452317799298603,1.2351164613590022,0.3152161982238372,3.8390762583124873,2025-10-21,2025-12-29
cream,Cream,retail_farmgate_baseline,Retail baseline / FarmGateUA,filled,pchip,67,1.4355996148336208,1.3316900916633236,0.2745206850255235,4.202163933347929,2025-10-21,2025-12-29
cream,Cream,retail_consumer_farmgate_observed,Retail+Consumer observed / FarmGateUA,filled,pchip,67,1.3452317799298603,1.2351164613590022,0.3152161982238372,3.8390762583124873,2025-10-21,2025-12-29
cream,Cream,retail_procurement_observed,Retail observed / ProZorro,not_applicable,pchip,70,0.4490462432476976,0.41632312188805876,0.463229554992648,1.566817110235932,2025-10-21,2026-01-08
cream,Cream,retail_procurement_baseline,Retail baseline / ProZorro,not_applicable,pchip,70,0.5355411709412967,0.5394340765813652,0.4368652900930403,1.7083725136985541,2025-10-21,2026-01-08
cream,Cream,retail_consumer_procurement_observed,Retail+Consumer observed / ProZorro,not_applicable,pchip,70,0.4490462432476976,0.41632312188805876,0.463229554992648,1.566817110235932,2025-10-21,2026-01-08
cream,Cream,retail_consumer_procurement_baseline,Retail+Consumer baseline / ProZorro,not_applicable,pchip,70,0.5355411709412967,0.5394340765813652,0.4368652900930403,1.7083725136985541,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_observed,Retail matched observed / ProZorro,not_applicable,pchip,63,0.3966369111846958,0.36655026447794725,0.4870690698039294,1.4868159857785237,2025-10-21,2026-01-08
cream,Cream,retail_matched_procurement_baseline,Retail matched baseline / ProZorro,not_applicable,pchip,63,0.5219329561884759,0.47891562212014716,0.45149217249763524,1.6852820797756387,2025-10-21,2026-01-08
cream,Cream,silpo_procurement_observed,Silpo observed / ProZorro,not_applicable,pchip,51,0.28907481521921224,0.3708970008337329,0.3201481281895922,1.3351916174454057,2025-10-21,2025-12-13
cream,Cream,silpo_procurement_baseline,Silpo baseline / ProZorro,not_applicable,pchip,51,0.40826341512628306,0.4941296412576812,0.31734393846569464,1.5042033389006895,2025-10-21,2025-12-13
cream,Cream,novus_procurement_observed,Novus observed / ProZorro,not_applicable,pchip,47,0.6814309911272224,0.7219874762730503,0.5574149161922222,1.9767043557056996,2025-11-04,2026-01-08
cream,Cream,retail_optimal_procurement_observed,Retail optimal observed / ProZorro,not_applicable,pchip,70,0.4490462432476976,0.41632312188805876,0.463229554992648,1.566817110235932,2025-10-21,2026-01-08
cream,Cream,retail_optimal_procurement_baseline,Retail optimal baseline / ProZorro,not_applicable,pchip,70,0.5355411709412967,0.5394340765813652,0.4368652900930403,1.7083725136985541,2025-10-21,2026-01-08
hard_cheese,Hard cheese,producer_farmgate,ProducerUA / FarmGateUA,initial,linear,1460,1.1742346958968324,1.1800067834083705,0.13002023651471725,3.2356657277891085,2021-12-31,2025-12-29
