link,link_direction,price_variant,horizon_days,models,products,variants,mean_coef,median_coef,mean_abs_coef,sig_share,core_share,median_n_obs
FarmGateUA -> Retail,forward,retail_observed,14,36,9,2,-6.1131118015335755,-1.0889518060129895,21.399955655583213,0.05555555555555555,0.05555555555555555,49.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,14,36,9,2,10.629847794728384,0.8264037629073759,32.60205489225125,0.1111111111111111,0.1111111111111111,49.0
FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,14,36,9,2,-4.8661825001665,-2.1913938791552967,19.270812209133556,0.05555555555555555,0.05555555555555555,49.0
Novus -> ProZorro,reverse,novus_observed,14,10,5,2,-0.19545948292564827,0.0625787569749238,0.32095967361396865,0.2,0.2,34.0
ProZorro -> Novus,forward,novus_observed,14,6,3,2,0.4709843558747022,0.4838408950595643,0.8055236883575748,0.6666666666666666,0.3333333333333333,35.0
ProZorro -> ProducerUA,reverse,processor_price,14,10,5,2,0.3839326430272795,0.007735115341310191,0.3928981524906343,0.0,0.0,244.0
ProZorro -> Retail,forward,retail_baseline,14,14,7,2,-0.04861489989569085,0.03177227714205631,0.10040766226758831,0.0,0.0,49.0
ProZorro -> Retail,forward,retail_observed,14,14,7,2,-0.04881196442771036,0.015702233629771203,0.11656038086799013,0.0,0.0,49.0
ProZorro -> Retail matched,forward,retail_matched_baseline,14,12,6,2,-0.04463090002501311,-0.04829615291000968,0.1221101889201391,0.0,0.0,44.0
ProZorro -> Retail matched,forward,retail_matched_observed,14,12,6,2,-0.08470626832422,-0.06165028799006238,0.14686561461723985,0.16666666666666666,0.16666666666666666,44.0
ProZorro -> Retail optimal,forward,retail_optimal_baseline,14,14,7,2,-0.050908185912827954,0.021608532675450515,0.09811437625045119,0.0,0.0,49.0
ProZorro -> Retail optimal,forward,retail_optimal_observed,14,14,7,2,-0.051559186722110205,0.015702233629771203,0.11381315857359027,0.0,0.0,49.0
ProZorro -> Retail+Consumer,forward,retail_consumer_baseline,14,14,7,2,-0.04603141630124658,0.019742182730962853,0.08980043680712883,0.0,0.0,49.0
ProZorro -> Retail+Consumer,forward,retail_consumer_observed,14,14,7,2,-0.04927577307847125,0.015702233629771203,0.1034262026615601,0.0,0.0,49.0
ProZorro -> Silpo,forward,silpo_baseline,14,14,7,2,-0.009520739052004025,-0.029415281454699932,0.049347236379798445,0.2857142857142857,0.2857142857142857,35.0
ProZorro -> Silpo,forward,silpo_observed,14,14,7,2,-0.00677539927355973,-0.04033870241907715,0.07259048345667277,0.0,0.0,35.0
ProducerUA -> FarmGateUA,reverse,processor_price,14,20,5,2,0.4329406890785821,0.38632031971633163,0.43294068907858196,1.0,1.0,1446.0
ProducerUA -> ProZorro,forward,procurement_price,14,10,5,2,1.1946935189109837,0.44448227561934006,1.5651143589139336,0.2,0.1,254.0
Retail -> FarmGateUA,reverse,retail_observed,14,36,9,2,0.001495709134028013,0.00029209876242680764,0.016839849600204695,0.3888888888888889,0.3888888888888889,55.0
Retail -> ProZorro,reverse,retail_baseline,14,14,7,2,-0.043873755067752755,0.00190675104961667,0.15155264048623773,0.14285714285714285,0.14285714285714285,58.0
Retail -> ProZorro,reverse,retail_observed,14,14,7,2,-0.07902489835969731,-0.04692743521013067,0.1925001710007066,0.14285714285714285,0.14285714285714285,58.0
Retail matched -> ProZorro,reverse,retail_matched_baseline,14,12,6,2,0.017385714537299982,-0.002352099815000473,0.0924839655814919,0.0,0.0,52.0
Retail matched -> ProZorro,reverse,retail_matched_observed,14,12,6,2,0.0156332620392327,-0.027828821589371746,0.1379623961980496,0.0,0.0,52.0
Retail optimal -> FarmGateUA,reverse,retail_optimal_observed,14,36,9,2,0.000897045607654406,0.0004889627212839543,0.01749478986685508,0.3888888888888889,0.3888888888888889,55.0
Retail optimal -> ProZorro,reverse,retail_optimal_baseline,14,14,7,2,-0.03682955684733923,0.00190675104961667,0.15859683870665123,0.14285714285714285,0.14285714285714285,58.0
Retail optimal -> ProZorro,reverse,retail_optimal_observed,14,14,7,2,-0.07205421535931858,-0.04692743521013067,0.19947085400108536,0.14285714285714285,0.14285714285714285,58.0
Retail+Consumer -> FarmGateUA,reverse,retail_consumer_observed,14,36,9,2,0.0018165869645391226,0.0003679550367534203,0.018698966200899225,0.3888888888888889,0.3888888888888889,55.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_baseline,14,14,7,2,-0.06123093390727184,0.00190675104961667,0.19169870700680527,0.14285714285714285,0.14285714285714285,58.0
Retail+Consumer -> ProZorro,reverse,retail_consumer_observed,14,14,7,2,-0.10509576527838235,-0.04692743521013067,0.24258504980511653,0.14285714285714285,0.14285714285714285,58.0
Silpo -> ProZorro,reverse,silpo_baseline,14,14,7,2,-0.12503451054085618,-0.1496510872798053,0.31082092023646773,0.14285714285714285,0.14285714285714285,47.0
Silpo -> ProZorro,reverse,silpo_observed,14,14,7,2,-0.1543205015715652,-0.13114023785967038,0.31485216538114436,0.2857142857142857,0.2857142857142857,47.0
FarmGateUA -> ProZorro,forward,procurement_price,21,28,7,2,-0.6784369068665157,-4.513946012485737,11.700219016790667,0.14285714285714285,0.14285714285714285,247.0
FarmGateUA -> ProducerUA,forward,processor_price,21,20,5,2,0.7673307883628108,0.9629557136847946,0.9613700828803751,0.0,0.0,1437.0
FarmGateUA -> Retail,forward,retail_observed,21,36,9,2,-11.792462705458137,0.7412902527349328,22.272846920513548,0.08333333333333333,0.0,45.0
FarmGateUA -> Retail optimal,forward,retail_optimal_observed,21,36,9,2,-33.811044765255545,0.7412902527349328,43.725292870027076,0.1111111111111111,0.0,45.0
FarmGateUA -> Retail+Consumer,forward,retail_consumer_observed,21,36,9,2,-11.864791486532246,0.479518154848114,21.292550285256382,0.08333333333333333,0.0,45.0
Novus -> ProZorro,reverse,novus_observed,21,6,3,2,-0.05746069529602651,-0.03878605706451739,0.05746069529602651,0.0,0.0,37.0
ProZorro -> Novus,forward,novus_observed,21,6,3,2,0.2084564576885067,0.34881710678213873,0.4710975963855768,0.3333333333333333,0.0,31.0
