item_key,silpo_product,silpo_brand_norm,silpo_canonical_name,silpo_first_name,novus_brand_norm,novus_canonical_name,novus_first_name,silpo_n_rows,novus_n_rows,strict_alignment_flag,combined_rows
milk|селянське|мікрофільтроване,milk,селянське,мікрофільтроване,Молоко пастеризоване мікрофільтроване,селянське,мікрофільтроване,Молоко мікрофільтроване пастеризоване,48.0,1.0,1,49.0
milk|яготинська|курагою,milk,яготинська,курагою,Ряжанка з курагою пляшка,яготинська,курагою,Ряжанка з курагою,48.0,1.0,1,49.0
milk|яготинська|полуницею,milk,яготинська,полуницею,Ряжанка з полуницею пляшка,яготинська,полуницею,Ряжанка з полуницею,48.0,1.0,1,49.0
milk|яготинський|безлактозний,milk,яготинський,безлактозний,Кефір безлактозний пляшка,яготинський,безлактозний,Кефір безлактозний,48.0,1.0,1,49.0
milk|ґокарпати|ложковий,milk,ґокарпати,ложковий,Кефір ложковий пляшка,ґокарпати,ложковий,Кефір ложковий,48.0,1.0,1,49.0
sour_cream|president|зі сметаною солоний,sour_cream,president,зі сметаною солоний,Сир кисломолочний зі сметаною солоний,president,зі сметаною солоний,Сир кисломолочний зі сметаною солоний,48.0,1.0,1,49.0
sour_cream|простонаше|безлактозна,sour_cream,простонаше,безлактозна,Сметана безлактозна стакан,простонаше,безлактозна,Сметана безлактозна,48.0,1.0,1,49.0
sour_cream|ферма|густа по фермерськи,sour_cream,ферма,густа по фермерськи,Сметана Густа по-фермерськи стакан,ферма,густа по фермерськи,Сметана Густа по-фермерськи,48.0,1.0,1,49.0
sour_cream|яготинська|безлактозна,sour_cream,яготинська,безлактозна,Сметана безлактозна стакан,яготинська,безлактозна,Сметана безлактозна,48.0,1.0,1,49.0
yogurt_dessert|danone|вишня,yogurt_dessert,danone,вишня,Йогурт Вишня стакан,danone,вишня,Йогурт вишня,48.0,1.0,1,49.0
yogurt_dessert|danone|персик,yogurt_dessert,danone,персик,Йогурт Персик стакан,danone,персик,Йогурт персик,48.0,1.0,1,49.0
yogurt_dessert|danone|персик диня,yogurt_dessert,danone,персик диня,Йогурт персик-диня питний,danone,персик диня,Йогурт персик-диня,48.0,1.0,1,49.0
yogurt_dessert|danone|персик маракуйя,yogurt_dessert,danone,персик маракуйя,Йогурт персик-маракуйя стакан,danone,персик маракуйя,Йогурт персик-маракуйя,48.0,1.0,1,49.0
yogurt_dessert|danone|чорниця,yogurt_dessert,danone,чорниця,Йогурт чорниця питний,danone,чорниця,Йогурт чорниця,48.0,1.0,1,49.0
yogurt_dessert|organic|milk малина,yogurt_dessert,organic,milk малина,Йогурт Milk малина,organic,milk малина,Йогурт Milk малина термостатний,48.0,1.0,1,49.0
yogurt_dessert|organic|milk полуниця,yogurt_dessert,organic,milk полуниця,Йогурт Milk полуниця,organic,milk полуниця,Йогурт Milk полуниця термостатний,48.0,1.0,1,49.0
yogurt_dessert|organic|milk полуниця органічний,yogurt_dessert,organic,milk полуниця органічний,Йогурт Milk Полуниця питний органічний,organic,milk полуниця органічний,Йогурт Milk Полуниця органічний,48.0,1.0,1,49.0
yogurt_dessert|organic|milk чорниця,yogurt_dessert,organic,milk чорниця,Йогурт Milk чорниця,organic,milk чорниця,Йогурт Milk чорниця термостатний,48.0,1.0,1,49.0
yogurt_dessert|premialle|smart food бузина лохина амарант,yogurt_dessert,premialle,smart food бузина лохина амарант,Йогурт Smart Food Бузина лохина амарант,premialle,smart food бузина лохина амарант,Йогурт Smart Food Бузина лохина амарант,48.0,1.0,1,49.0
yogurt_dessert|premialle|smart food манго маракуйя кіноа,yogurt_dessert,premialle,smart food манго маракуйя кіноа,Йогурт Smart Food Манго маракуйя кіноа,premialle,smart food манго маракуйя кіноа,Йогурт Smart Food Манго маракуйя кіноа,48.0,1.0,1,49.0
yogurt_dessert|активіа|біфідойогурт абрикос злаки,yogurt_dessert,активіа,біфідойогурт абрикос злаки,Біфідойогурт Абрикос злаки питний,активіа,біфідойогурт абрикос злаки,Біфідойогурт Абрикос-злаки,48.0,1.0,1,49.0
yogurt_dessert|активіа|біфідойогурт лісові ягоди злаки,yogurt_dessert,активіа,біфідойогурт лісові ягоди злаки,Біфідойогурт лісові ягоди-злаки пляшка,активіа,біфідойогурт лісові ягоди злаки,Біфідойогурт Лісові ягоди-злаки,48.0,1.0,1,49.0
yogurt_dessert|активіа|біфідойогурт манго персик злаки,yogurt_dessert,активіа,біфідойогурт манго персик злаки,Біфідойогурт манго-персик-злаки стакан,активіа,біфідойогурт манго персик злаки,Біфідойогурт манго-персик-злаки,48.0,1.0,1,49.0
yogurt_dessert|активіа|біфідойогурт полуниця злаки,yogurt_dessert,активіа,біфідойогурт полуниця злаки,Біфідойогурт полуниця-злаки стакан,активіа,біфідойогурт полуниця злаки,Біфідойогурт полуниця-злаки,48.0,1.0,1,49.0
yogurt_dessert|активіа|біфідойогурт чорниця злаки,yogurt_dessert,активіа,біфідойогурт чорниця злаки,Біфідойогурт Чорниця злаки питний,активіа,біфідойогурт чорниця злаки,Біфідойогурт Чорниця-злаки,48.0,1.0,1,49.0
yogurt_dessert|волошкове поле|біфідойогурт ананас безлактозний,yogurt_dessert,волошкове поле,біфідойогурт ананас безлактозний,Біфідойогурт Ананас безлактозний,волошкове поле,біфідойогурт ананас безлактозний,Біфідойогурт Ананас безлактозний,48.0,1.0,1,49.0
yogurt_dessert|волошкове поле|біфідойогурт вишня безлактозний,yogurt_dessert,волошкове поле,біфідойогурт вишня безлактозний,Біфідойогурт Вишня безлактозний,волошкове поле,біфідойогурт вишня безлактозний,Біфідойогурт Вишня безлактозний,48.0,1.0,1,49.0
yogurt_dessert|волошкове поле|біфідойогурт полуниця безлактозний,yogurt_dessert,волошкове поле,біфідойогурт полуниця безлактозний,Біфідойогурт Полуниця безлактозний,волошкове поле,біфідойогурт полуниця безлактозний,Біфідойогурт Полуниця безлактозний,48.0,1.0,1,49.0
yogurt_dessert|волошкове поле|глазурований карамель,yogurt_dessert,волошкове поле,глазурований карамель,Сирок глазурований карамель,волошкове поле,глазурований карамель,Сирок глазурований Карамель,48.0,1.0,1,49.0
yogurt_dessert|волошкове поле|глазурований кокос,yogurt_dessert,волошкове поле,глазурований кокос,Сирок глазурований Кокос,волошкове поле,глазурований кокос,Сирок глазурований кокос,48.0,1.0,1,49.0
yogurt_dessert|волошкове поле|глазурований малина гранат безлактозний,yogurt_dessert,волошкове поле,глазурований малина гранат безлактозний,Сирок глазурований малина-гранат безлактозний,волошкове поле,глазурований малина гранат безлактозний,Сирок глазурований малина-гранат безлактозний,48.0,1.0,1,49.0
yogurt_dessert|волошкове поле|глазурований полуниця,yogurt_dessert,волошкове поле,глазурований полуниця,Сирок глазурований полуниця,волошкове поле,глазурований полуниця,Сирок глазурований полуниця,48.0,1.0,1,49.0
yogurt_dessert|галичина|карпатський вишня,yogurt_dessert,галичина,карпатський вишня,Йогурт Карпатський вишня,галичина,карпатський вишня,Йогурт Карпатський Вишня,48.0,1.0,1,49.0
